date,year,jolts_openings,jolts_opening_rate,jolts_quit_rate,unemp_level,unemp_rate,opening_unemployed,openings_mom,openings_yoy
2004-08-01,2004,3541,2.6,2,7990,5.4,0.44317897371714643,-7.15783953854221,0.8544574195386012
2004-07-01,2004,3814,2.8,2,8136,5.5,0.46878072763028517,14.294276296074315,8.19858156028368
2004-06-01,2004,3337,2.5,2,8286,5.6,0.4027274921554429,-10.05390835579515,-5.520951302378252
2004-05-01,2004,3710,2.7,1.8,8212,5.6,0.4517778860204579,5.667900882939336,8.35280373831775
2004-04-01,2004,3511,2.6,1.9,8170,5.6,0.4297429620563035,-0.3971631205673787,2.8412419449326265
2004-03-01,2004,3525,2.6,2,8491,5.8,0.4151454481215405,-0.19818799546998944,6.046931407942235
2004-02-01,2004,3532,2.6,1.9,8167,5.6,0.4324721439941227,3.1542056074766345,6.86838124054463
2004-01-01,2004,3424,2.6,1.8,8370,5.7,0.40908004778972523,0.29291154071471315,10.773212552571977
2003-12-01,2003,3414,2.5,1.9,8317,5.7,0.4104845497174462,2.707581227436817,7.021943573667722
2003-11-01,2003,3324,2.5,1.8,8576,5.8,0.38759328358208955,0.5748865355521993,11.506205971150617
2003-10-01,2003,3305,2.5,1.9,8732,6,0.37849289967934036,6.923325784535739,-2.507374631268433
2003-09-01,2003,3091,2.3,1.8,8921,6.1,0.34648581997533906,-3.103448275862064,-6.020066889632103
2003-08-01,2003,3190,2.4,1.7,8896,6.1,0.3585881294964029,7.011070110701101,2.638352638352637
2003-07-01,2003,2981,2.2,1.7,9011,6.2,0.33081788924647654,-12.064896755162247,-3.8076798967408787
2003-06-01,2003,3390,2.5,1.8,9266,6.3,0.36585365853658536,3.07084220127698,4.9860637968411226
2003-05-01,2003,3289,2.5,1.8,8957,6.1,0.3671988388969521,5.823680823680832,-4.41732054635281
2003-04-01,2003,3108,2.3,1.8,8842,6,0.35150418457362587,0.2904162633107443,-1.924897443988638
2003-03-01,2003,3099,2.3,1.8,8588,5.9,0.36085235211923616,-4.026014245896558,-11.809903244166197
2003-02-01,2003,3229,2.4,1.9,8618,5.9,0.37468090044093755,-6.160999709386806,-7.185972980741595
2003-01-01,2003,3441,2.6,1.9,8520,5.8,0.40387323943661974,8.583149258441146,4.2411390487731015
2002-12-01,2002,3169,2.4,1.9,8640,6,0.3667824074074074,-9.817871371656228,-9.894796701734432
2002-11-01,2002,3514,2.6,1.8,8520,5.9,0.41244131455399063,1.0060362173038184,4.365904365904361
2002-10-01,2002,3479,2.6,1.9,8307,5.7,0.4188034188034188,5.392305362011518,1.9636576787807725
2002-09-01,2002,3301,2.5,1.9,8251,5.7,0.40007271845836867,-6.141597952800682,-4.5125831645935754
2002-08-01,2002,3517,2.6,2,8304,5.7,0.42353082851637763,4.455004455004463,1.3252664938058212
2002-07-01,2002,3367,2.5,2,8390,5.8,0.40131108462455306,-1.3188745603751495,-6.78294573643411
2002-06-01,2002,3412,2.5,1.9,8393,5.8,0.4065292505659478,-1.3017066820943057,-0.6984866123399325
2002-05-01,2002,3457,2.6,1.9,8399,5.8,0.4115966186450768,-0.4033419763756818,-6.542308732089753
2002-04-01,2002,3471,2.6,2,8599,5.9,0.403651587393883,-3.9036544850498345,-5.602393255371229
2002-03-01,2002,3612,2.7,1.9,8304,5.7,0.434971098265896,5.122235157159483,-4.317880794701989
2002-02-01,2002,3436,2.6,2,8215,5.7,0.41825928180158245,-7.110029737766965,-7.310493660642026
2002-01-01,2002,3699,2.7,2.2,8182,5.7,0.45208995355658765,0.5983138428066415,-9.137803979366243
2001-12-01,2001,3677,2.7,2,8258,5.7,0.44526519738435455,-2.5960264900662278,-8.623260437375746
2001-11-01,2001,3775,2.8,2,8003,5.5,0.4716981132075472,1.8343674130024246,-15.111310996177195
2001-10-01,2001,3707,2.7,2.1,7694,5.3,0.48180400311931376,-8.941292065831497,-14.99656042192158
2001-09-01,2001,4071,3,2.1,7142,5,0.570008401008121,1.1679920477137173,-7.9999999999999964
2001-08-01,2001,4024,3,2.2,7042,4.9,0.5714285714285714,-9.51203058241511,-12.806067172264356
2001-07-01,2001,4447,3.3,2.2,6583,4.6,0.6755278748291053,1.9720247649621658,-6.6148677026459435
2001-06-01,2001,4361,3.2,2.2,6484,4.5,0.6725786551511412,-1.4463276836158223,-14.439866588189131
2001-05-01,2001,4425,3.2,2.3,6226,4.3,0.7107292001284934,-4.1170097508125725,-15.45662972869698
2001-04-01,2001,4615,3.4,2.4,6271,4.4,0.7359272843246691,-3.086938261234773,-9.296383647798745
2001-03-01,2001,4762,3.5,2.3,6141,4.3,0.7754437388047549,-6.572493623700215,NA
2001-02-01,2001,5097,3.7,2.3,6089,4.2,0.8370832649039252,-2.617500955292318,NA
2001-01-01,2001,5234,3.8,2.4,6023,4.2,0.8690021583928275,2.869496855345921,NA
2000-12-01,2000,5088,3.7,2.2,5634,3.9,0.9030883919062833,NA,NA
